Institución,Nombre del establecimiento,Clasificación,Departamento,Provincia,Distrito,Estado,NORTE,ESTE
GOBIERNO REGIONAL,AMBATO,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,SANTA CRUZ,ACTIVADO,-78.85838013,-6.1335228
GOBIERNO REGIONAL,SANTA ISABEL DE YUMBATURO,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,LORETO,PARINARI,ACTIVADO,-74.25813893,-4.58150907
MINSA,PUESTO DE SALUD HEROES DEL CENEPA,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA EL SALVADOR,ACTIVADO,-76.9306076,-12.2486993
GOBIERNO REGIONAL,NUEVA BETANIA,PUESTOS DE SALUD O POSTAS DE SALUD,UCAYALI,CORONEL PORTILLO,CALLERIA,ACTIVADO,-74.29653113,-8.39836581
GOBIERNO REGIONAL,PONGO ISLA,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,SAN MARTIN,HUIMBAYOC,ACTIVADO,-75.88581167,-6.43829833
GOBIERNO REGIONAL,PAJJANA SAN AGUSTIN,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,YUNGUYO,YUNGUYO,ACTIVADO,-69.03532667,-16.26196833
GOBIERNO REGIONAL,CARLOS CORNEJO ROSELLO,HOSPITALES O CLINICAS DE ATENCION GENERAL,PUNO,AZANGARO,AZANGARO,ACTIVADO,-70.19933924,-14.9041434
GOBIERNO REGIONAL,JACHAJAA,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,MOHO,MOHO,ACTIVADO,-69.62749511,-15.29109598
GOBIERNO REGIONAL,MARIANO MELGAR,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,SAN ROMAN,SAN MIGUEL,ACTIVADO,-70.13631597,-15.47227834
GOBIERNO REGIONAL,TUNANCANCHA,PUESTOS DE SALUD O POSTAS DE SALUD,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,ACTIVADO,-76.45851307,-10.67929002
GOBIERNO REGIONAL,CONGAS ANTACUCHO,PUESTOS DE SALUD O POSTAS DE SALUD,JUNIN,TARMA,HUARICOLCA,ACTIVADO,-75.55218504,-11.49122055
GOBIERNO REGIONAL,PUESTO DE SALUD MOLLEBAYA,PUESTOS DE SALUD O POSTAS DE SALUD,AREQUIPA,AREQUIPA,MOLLEBAYA,ACTIVADO,-71.46648596,-16.4865984
GOBIERNO REGIONAL,CARHUAZ,HOSPITALES O CLINICAS DE ATENCION GENERAL,ANCASH,CARHUAZ,CARHUAZ,ACTIVADO,-77.6493849,-9.27748394
GOBIERNO REGIONAL,MARIA,CENTROS DE SALUD O CENTROS MEDICOS,AMAZONAS,LUYA,MARIA,ACTIVADO,-77.96287947,-6.43024257
GOBIERNO REGIONAL,TASAJERAS,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,AYABACA,SAPILLICA,ACTIVADO,-79.99400729,-4.74765131
GOBIERNO REGIONAL,SAN FRANCISCO DEL RIO MAYO,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,LAMAS,CUÑUMBUQUI,ACTIVADO,-76.4228039,-6.57862429
GOBIERNO REGIONAL,NUEVO MUNDO,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,LAMAS,ZAPATERO,ACTIVADO,-76.54428542,-6.5306747
GOBIERNO REGIONAL,SAN FERNANDO,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,LAMAS,ZAPATERO,ACTIVADO,-76.45430267,-6.60211265
GOBIERNO REGIONAL,"HOSPITAL PROVINCIAL ASCOPE ""ROSA SANCHEZ DE SANTILLAN""",HOSPITALES O CLINICAS DE ATENCION GENERAL,LA LIBERTAD,ASCOPE,ASCOPE,ACTIVADO,-79.10125903,-7.71423657
GOBIERNO REGIONAL,JOSE SABOGAL,CENTROS DE SALUD O CENTROS MEDICOS,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,ACTIVADO,-78.03733593,-7.25159655
GOBIERNO REGIONAL,LA VICTORIA,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,ACTIVADO,-77.26672708,-6.03312433
