Institución,Nombre del establecimiento,UBIGEO,Clasificación,Departamento,Provincia,Distrito,Estado,NORTE,ESTE
GOBIERNO REGIONAL,AMBATO,60611,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,SANTA CRUZ,ACTIVADO,-78.85838013,-6.1335228
GOBIERNO REGIONAL,SANTA ISABEL DE YUMBATURO,160302,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,LORETO,PARINARI,ACTIVADO,-74.25813893,-4.58150907
MINSA,PUESTO DE SALUD HEROES DEL CENEPA,150142,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA EL SALVADOR,ACTIVADO,-76.9306076,-12.2486993
GOBIERNO REGIONAL,NUEVA BETANIA,250101,PUESTOS DE SALUD O POSTAS DE SALUD,UCAYALI,CORONEL PORTILLO,CALLERIA,ACTIVADO,-74.29653113,-8.39836581
GOBIERNO REGIONAL,PONGO ISLA,220907,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,SAN MARTIN,HUIMBAYOC,ACTIVADO,-75.88581167,-6.43829833
GOBIERNO REGIONAL,PAJJANA SAN AGUSTIN,211301,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,YUNGUYO,YUNGUYO,ACTIVADO,-69.03532667,-16.26196833
GOBIERNO REGIONAL,CARLOS CORNEJO ROSELLO,210201,HOSPITALES O CLINICAS DE ATENCION GENERAL,PUNO,AZANGARO,AZANGARO,ACTIVADO,-70.19933924,-14.9041434
GOBIERNO REGIONAL,JACHAJAA,210901,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,MOHO,MOHO,ACTIVADO,-69.62749511,-15.29109598
GOBIERNO REGIONAL,MARIANO MELGAR,211105,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,SAN ROMAN,SAN MIGUEL,ACTIVADO,-70.13631597,-15.47227834
GOBIERNO REGIONAL,TUNANCANCHA,190201,PUESTOS DE SALUD O POSTAS DE SALUD,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,ACTIVADO,-76.45851307,-10.67929002
GOBIERNO REGIONAL,CONGAS ANTACUCHO,120703,PUESTOS DE SALUD O POSTAS DE SALUD,JUNIN,TARMA,HUARICOLCA,ACTIVADO,-75.55218504,-11.49122055
GOBIERNO REGIONAL,PUESTO DE SALUD MOLLEBAYA,40111,PUESTOS DE SALUD O POSTAS DE SALUD,AREQUIPA,AREQUIPA,MOLLEBAYA,ACTIVADO,-71.46648596,-16.4865984
GOBIERNO REGIONAL,CARHUAZ,20601,HOSPITALES O CLINICAS DE ATENCION GENERAL,ANCASH,CARHUAZ,CARHUAZ,ACTIVADO,-77.6493849,-9.27748394
GOBIERNO REGIONAL,MARIA,10511,CENTROS DE SALUD O CENTROS MEDICOS,AMAZONAS,LUYA,MARIA,ACTIVADO,-77.96287947,-6.43024257
GOBIERNO REGIONAL,TASAJERAS,200208,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,AYABACA,SAPILLICA,ACTIVADO,-79.99400729,-4.74765131
GOBIERNO REGIONAL,SAN FRANCISCO DEL RIO MAYO,220505,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,LAMAS,CUÑUMBUQUI,ACTIVADO,-76.4228039,-6.57862429
GOBIERNO REGIONAL,NUEVO MUNDO,220511,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,LAMAS,ZAPATERO,ACTIVADO,-76.54428542,-6.5306747
GOBIERNO REGIONAL,SAN FERNANDO,220511,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,LAMAS,ZAPATERO,ACTIVADO,-76.45430267,-6.60211265
GOBIERNO REGIONAL,"HOSPITAL PROVINCIAL ASCOPE ""ROSA SANCHEZ DE SANTILLAN""",130201,HOSPITALES O CLINICAS DE ATENCION GENERAL,LA LIBERTAD,ASCOPE,ASCOPE,ACTIVADO,-79.10125903,-7.71423657
GOBIERNO REGIONAL,JOSE SABOGAL,61007,CENTROS DE SALUD O CENTROS MEDICOS,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,ACTIVADO,-78.03733593,-7.25159655
GOBIERNO REGIONAL,LA VICTORIA,220803,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,ACTIVADO,-77.26672708,-6.03312433
GOBIERNO REGIONAL,HUIRONAY,30208,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANDAHUAYLAS,PACOBAMBA,ACTIVADO,-73.11921167,-13.58774333
GOBIERNO REGIONAL,SANTA ROSA BAJO TANGUMI,220102,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,MOYOBAMBA,CALZADA,ACTIVADO,-77.14102,-5.96787
GOBIERNO REGIONAL,CHIJICHAYA,210501,CENTROS DE SALUD O CENTROS MEDICOS,PUNO,EL COLLAO,ILAVE,ACTIVADO,-69.68833,-16.16774833
GOBIERNO REGIONAL,CHEJOÑA,210101,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,PUNO,PUNO,ACTIVADO,-70.00088667,-15.863885
SANIDAD DEL EJERCITO DEL PERU,CENTRO DE SALUD MILITAR DE LA ESCUELA DE INTELIGENCIA DEL EJERCITO,150108,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,CHORRILLOS,ACTIVADO,-77.0189409,-12.1601295
MINSA,PUESTO DE SALUD FERNANDO LUYO SIERRA,150142,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA EL SALVADOR,ACTIVADO,-76.9425767,-12.2289028
GOBIERNO REGIONAL,LA VICTORIA SECTOR II - MARIA JESUS,140106,CENTROS DE SALUD O CENTROS MEDICOS,LAMBAYEQUE,CHICLAYO,LA VICTORIA,ACTIVADO,-79.83250767,-6.79466548
GOBIERNO REGIONAL,SALITRAL,200608,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,SULLANA,SALITRAL,ACTIVADO,-80.68317754,-4.85986553
GOBIERNO REGIONAL,CHAUPELANCHE,60401,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.5878,-6.59449
GOBIERNO REGIONAL,P.S MOSSA,200408,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,MORROPON,SANTA CATALINA DE MOSSA,ACTIVADO,-79.85742,-5.08612
GOBIERNO REGIONAL,ROHABOYA,160603,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,UCAYALI,PADRE MARQUEZ,ACTIVADO,-74.92381466,-7.75861331
GOBIERNO REGIONAL,CUELCHO,10105,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,CHILIQUIN,ACTIVADO,-77.75449921,-6.14127159
GOBIERNO REGIONAL,CAJAMARQUILLA,21403,PUESTOS DE SALUD O POSTAS DE SALUD,ANCASH,OCROS,CAJAMARQUILLA,ACTIVADO,-77.19864333,-10.35382
GOBIERNO REGIONAL,AGUA BLANCA,60607,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,QUEROCOTILLO,ACTIVADO,-79.03153649,-6.30669043
GOBIERNO REGIONAL,GRAU KM.40,160201,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,ALTO AMAZONAS,YURIMAGUAS,ACTIVADO,-76.24155,-6.0727
GOBIERNO REGIONAL,MUÑUNO,60601,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,CUTERVO,ACTIVADO,-78.78380464,-6.46771956
GOBIERNO REGIONAL,CONO NORTE,230104,PUESTOS DE SALUD O POSTAS DE SALUD,TACNA,TACNA,CIUDAD NUEVA,ACTIVADO,-70.2334345,-17.9790222
GOBIERNO REGIONAL,AEROPUERTO,70101,PUESTOS DE SALUD O POSTAS DE SALUD,CALLAO,CALLAO,CALLAO,ACTIVADO,-77.09902777,-12.03365706
MINSA,OASIS DE VILLA,150142,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA EL SALVADOR,ACTIVADO,-76.9346408,-12.2107913
PRIVADO,POLICLINICO SAN NORBERTO,250101,CENTROS DE SALUD O CENTROS MEDICOS,UCAYALI,CORONEL PORTILLO,CALLERIA,ACTIVADO,-74.52968456,-8.38594682
GOBIERNO REGIONAL,ACOPIA,80202,PUESTOS DE SALUD O POSTAS DE SALUD,CUSCO,ACOMAYO,ACOPIA,ACTIVADO,-71.49256,-14.05894
GOBIERNO REGIONAL,CABRACANCHA,60401,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.66489,-6.60321
GOBIERNO REGIONAL,DIAMANTE,60906,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,ACTIVADO,-78.90137,-4.92764
GOBIERNO REGIONAL,PUESTO DE SALUD ALTO JESUS,40112,PUESTOS DE SALUD O POSTAS DE SALUD,AREQUIPA,AREQUIPA,PAUCARPATA,ACTIVADO,-71.494422,-16.422676
GOBIERNO REGIONAL,SAN PEDRO DE CHOCOBAMBA,100701,PUESTOS DE SALUD O POSTAS DE SALUD,HUANUCO,MARAÑON,HUACRACHUCO,ACTIVADO,-77.11480833,-8.64325167
PRIVADO,CONSULTORIO ODONTOLOGICO VIVIDENT,10101,CENTRO ODONTOLOGICO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ACTIVADO,-77.87309899,-6.22904731
MINSA,"PUESTO DE SALUD ""SEÑOR DE LOS MILAGROS""",150142,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA EL SALVADOR,ACTIVADO,-77.0452168,-11.9415104
GOBIERNO REGIONAL,SAN JOSE,10114,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,ACTIVADO,-77.5608,-6.28275
GOBIERNO REGIONAL,HUACHO,220201,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,BELLAVISTA,BELLAVISTA,ACTIVADO,-76.64896667,-6.89911
GOBIERNO REGIONAL,C.S. I-3 9 DE OCTUBRE,160112,CENTROS DE SALUD O CENTROS MEDICOS,LORETO,MAYNAS,BELEN,ACTIVADO,-73.24459961,-3.76457022
GOBIERNO REGIONAL,EL SAUCE-SAPILLICA,200208,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,AYABACA,SAPILLICA,ACTIVADO,-79.987709,-4.81257618
GOBIERNO REGIONAL,CIUDAD DE DIOS,130702,CENTROS DE SALUD O CENTROS MEDICOS,LA LIBERTAD,PACASMAYO,GUADALUPE,ACTIVADO,-79.480815,-7.30426
GOBIERNO REGIONAL,YAVIRO,120608,"PUESTOS DE SALUD O POSTAS DE SALUD,PUESTOS DE SALUD O POSTAS DE SALUD",JUNIN,SATIPO,RIO TAMBO,ACTIVADO,-74.0868377,-12.13046948
GOBIERNO REGIONAL,LISCAY,110209,PUESTOS DE SALUD O POSTAS DE SALUD,ICA,CHINCHA,SAN PEDRO DE HUACARPANA,ACTIVADO,-75.74523667,-13.08553
GOBIERNO REGIONAL,CRUZPATA,10523,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,TRITA,ACTIVADO,-78.034555,-6.16132833
PRIVADO,CONSULTORIO ODONTOLOGICO,70101,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,CALLAO,CALLAO,CALLAO,ACTIVADO,-69.26159,-12.56886
GOBIERNO REGIONAL,VILLA BUEN PASTOR,160113,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,MAYNAS,SAN JUAN BAUTISTA,ACTIVADO,-73.39034,-4.05932
GOBIERNO REGIONAL,PISCOBAMBA,30605,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,CHINCHEROS,OCOBAMBA,ACTIVADO,-73.49401205,-13.56094435
MINSA,ENRIQUE MILLA OCHOA,150117,CENTROS DE SALUD O CENTROS MEDICOS,LIMA,LIMA,LOS OLIVOS,ACTIVADO,-77.0822282,-11.9565532
GOBIERNO REGIONAL,HUANUARA,230205,PUESTOS DE SALUD O POSTAS DE SALUD,TACNA,CANDARAVE,HUANUARA,ACTIVADO,-70.32165314,-17.31276436
GOBIERNO REGIONAL,AUCALLAMA,150604,CENTROS DE SALUD O CENTROS MEDICOS,LIMA,HUARAL,AUCALLAMA,ACTIVADO,-77.17582232,-11.56085172
GOBIERNO REGIONAL,QUILLUNYA,10109,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,LA JALCA,ACTIVADO,-77.812755,-6.55844333
GOBIERNO REGIONAL,APALIN ALTO,60108,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,ACTIVADO,-78.438952,-7.058471
GOBIERNO REGIONAL,MESARRUME,60603,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,CHOROS,ACTIVADO,-78.76281,-5.94732
GOBIERNO REGIONAL,PALAMBE,60809,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,JAEN,SALLIQUE,ACTIVADO,-79.30543827,-5.59562048
GOBIERNO REGIONAL,OSCCOLLOPAMPA,30216,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANDAHUAYLAS,TALAVERA,ACTIVADO,-73.44644551,-13.67954541
GOBIERNO REGIONAL,HUANCAPAMPA,30410,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,AYMARAES,POCOHUANCA,ACTIVADO,-73.07389,-14.20978167
GOBIERNO REGIONAL,CHIJCHIPANI,210214,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,AZANGARO,SANTIAGO DE PUPUJA,ACTIVADO,-70.24523731,-15.13637907
GOBIERNO REGIONAL,PUTINA,211001,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,PUNO,SAN ANTONIO DE PUTINA,PUTINA,ACTIVADO,-69.8662378,-14.91585773
MINSA,HOSPITAL MARIA AUXILIADORA,150133,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,ACTIVADO,-76.9591024,-12.1605768
GOBIERNO REGIONAL,CUYCA,60804,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,JAEN,COLASAY,ACTIVADO,-78.8632941,-6.0071061
